,Hindi,English
0,में,In
1,है,Is
2,हैं,Are
3,नहीं,No
4,लिए,For
5,गया,Went
6,तथा,And
7,अपने,Our
8,कुछ,Some?
9,साथ,with
10,होता,Would
11,था,Was
12,दिया,Gave
13,हुए,happened
14,कोई,Any
15,रूप,Form
16,से,From
17,मैं,I
18,रहा,remained
19,हुआ,Happened
20,बात,talk
21,कहा,Said
22,समय,Time
23,क्या,What
24,अपनी,Own
25,होती,would have
26,प्रकार,Type
27,बहुत,Very
28,तरह,Kind
29,बाद,after
30,फिर,Then
31,रहे,are
32,द्वारा,By
33,अधिक,More
34,रही,doing
35,होने,to be
36,एवं,And
37,हुई,Hui
38,थे,Were
39,उनके,Their
40,थी,Was
41,वाले,those
42,चाहिए,Needed
43,दिन,Day
44,लेकिन,But
45,काम,Work
46,हूँ,am
47,होते,would have
48,इसके,Its
49,उन्हें,Them
50,गये,went
51,कभी,Sometimes
52,आदि,Etcetera
53,लोग,People
54,बार,Times
55,यहाँ,Here
56,दोनों,Both
57,उन्होंने,They
58,कार्य,Work
59,पास,Near
60,वहाँ,There
61,भारत,India
62,लिया,taken
63,प्राप्त,get
64,उनकी,his
65,लोगों,people
66,गयी,went
67,लगा,Put
68,अन्य,Other
69,होगा,will be
70,इसी,This 
71,देश,Country
72,यदि,If
73,सभी,All
74,नाम,Name
75,वर्ष,Year
76,ऐसा,As such
77,विकास,Development
78,अपना,own
79,ऐसे,This way
80,दूसरे,Others
81,हाथ,Hand
82,भाषा,Language
83,मेरे,My
84,मैंने,I
85,तुम,You
86,बीच,between
87,वाली,Wali
88,बड़े,elder
89,प्रति,Per
90,व्यक्ति,Person
91,उनका,their
92,लिये,for
93,इसलिए,so
94,तीन,Three
95,इसका,Its
96,ऐसी,Such
97,विशेष,Specific
98,बड़ी,Big
99,अथवा,Or
100,भाग,Part
101,क्योंकि,Because
102,सिंह,Lion
103,ठीक,Correct
104,स्थिति,Situation
105,परन्तु,But
106,स्थान,place
107,यही,This only
108,क्यों,Why
109,गाँव,Village
110,राज्य,State
111,अलग,apart
112,लेकर,taking
113,अभी,Now!
114,इसमें,In this
115,विभिन्न,various
116,सी,C
117,विचार,Idea
118,जिस,That
119,बाहर,Outside
120,ऊपर,Above
121,बना,made
122,तैयार,Ready
123,अनेक,many
124,सामने,Front
125,शिक्षा,Education
126,शरीर,Body
127,होकर,through
128,दृष्टि,Vision
129,श्री,Mister
130,थीं,were
131,दूर,away
132,शब्द,Word
133,ध्यान,Attention
134,चार,Four
135,मेरी,My
136,बड़ा,Big
137,पता,Address
138,लगता,seems
139,आगे,Ahead
140,किया,Did
141,उत्तर,Answer
142,किन्तु,But
143,आने,come
144,लगे,started
145,लगभग,About
146,इसे,This
147,लाख,Lakh
148,बारे,About
149,होना,Happen
150,इससे,From this
151,मात्रा,amount
152,अध्ययन,Study
153,वाला,one
154,जिसमें,in which
155,नीचे,Below
156,अर्थ,Meaning
157,लोक,Folk
158,आवश्यक,Necessary
159,हो,yes
160,माँ,Mother
161,छोटे,small
162,प्रतिशत,percentage
163,शुरू,Start
164,अगर,If
165,इतना,This much
166,आया,Came
167,होगी,will be
168,मिल,Mill
169,स्वयं,Self
170,रात,Night
171,बिना,Without
172,हमें,Us
173,उपयोग,Use
174,किए,did
175,महत्वपूर्ण,Important
176,मुख्य,main
177,साल,Year
178,ज्यादा,More
179,साहित्य,Literature
180,पूर्व,East
181,निर्माण,Construction
182,विषय,Subject
183,जिससे,By which
184,देख,See
185,चित्र,Picture
186,लगी,got stuck
187,प्रत्येक,Everyone
188,मनुष्य,man
189,गई,Went
190,स्पष्ट,clear
191,दिनों,days
192,रंग,Colour
193,इसकी,his
194,स्तर,level
195,मेरा,My
196,दूसरी,Second
197,अच्छा,Good
198,रोग,Disease
199,काल,period
200,अच्छी,Good
201,विज्ञान,Science
202,भाई,Brother
